"%s already exist","%s já existe"
"%s already exists","%s já existem"
"-- Please Select --","-- Por favor, selecione --"
"Disable modules output","Desabilitar saída dos módulos"
"Duplicate Of Template Code","Duplicação do código de modelo"
"Edit Design Change","Editar alteração de design"
"Edit Store","Editar loja"
"Edit Store View","Editar visão da loja"
"Edit Website","Editar website"
"Empty identifier field name","Nome do campo do identificador vazio"
"Empty main table name","Nome da tabela principal vazio"
"Enabled","Habilitado"
"Enabled for Admin","Habilitado para admin"
"Enabled for Frontend","Habilitado para frontend"
"Error in file: ""%s"" - %s","Erro no arquivo: ""%s"" - %s"
"Error while saving. Please try again later.","Erro ao salvar. Por favor, tente novamente mais tarde."
"Error: Passwords do not match","Erro: senhas não conferem"
"Exceptions Log File Name","Nome do log de exceções"
"First Day of Week","Primeiro dia da semana"
"Footer","Rodapé"
"Forgot Password Email Sender","Esqueceu rementente do e-mail de senha"
"Forgot Password Email Template","Esqueceu modelo do e-mail de senha"
"General","Geral"
"General Settings","Configurações gerais"
"General contact","Contato geral"
"Global","Global"
"HTML Head","Cabeçalho HTML"
"Header","Cabeçalho"
"Host","Servidor"
"Id path for specified store","Caminho do ID para loja especificada"
"Incorrect credit card expiration date","Data de vencimento do cartão de crédito incorreta"
"Invalid base url type","Tipo inválido de URL base"
"Invalid block name to set child %s: %s","Nome inválido de bloco para definir filho %s: %s"
"Invalid block type: %s","Tipo inválido do bloco: %s"
"Invalid block: %s","Bloco inválido: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Argumento inválido de atualização de layout, esperado Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Layout update handle inválido"
"Invalid messages storage ""%s"" for layout messages initialization","Mensagens de armazenamento ""%s"" inválido para inicialização de mensagens de layout"
"Invalid transactional email code: ","Código inválido de e-mail transacional: "
"Invalid websites configuration path: %s","Caminho inválido de configuração de websites: %s"
"Layout","Layout"
"Layouts","Layouts"
"Leave empty for access from any location","Deixar em branco para acessar de qualquer lugar"
"Locale","Localidade"
"Locale options","Opções de localidade"
"Log Settings","Configuração de log"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logging de Mage::log(). Arquivo está localizado em {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logging de Mage::logException(). Arquivo está localizado em {{base_dir}}/var/log"
"Logo Image Alt","Alt da imagem de logo"
"Logo Image Src","Src da imagem de logo"
"Manage Stores","Gerenciar lojas"
"Match expressions in the same order as displayed in the configuration.","Combinar expressões na mesma ordem exibida na configuração."
"Miscellaneous HTML","HTML variados"
"Miscellaneous scripts","Scripts variados"
"Model class does not exist: %s","Classe modelo não existe: %s"
"Model collection resource name is not defined","Nome do recurso de coleção de modelo não está definido"
"Module ""%1$s"" can not be depended from ""%2$s""","Módulo ""%1$s"" não pode depender de ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Módulo ""%1$s"" requer módulo ""%2$s"""
"Name","Nome"
"New Design Change","Nova alteração de design"
"New Store","Nova loja"
"New Store View","Nova visão de loja"
"New Website","Novo website"
"No","Não"
"Package","Pacotes"
"Please choose to register or to checkout as a guest","Por favor, escolha registrar ou finalizar como visitante."
"Please define flag code.","Por favor, defina o código da bandeira"
"Please enter 6 or more characters.","Por favor, insira 6 ou mais caracteres."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Por favor, insira 6 ou mais caracteres. Espaços antes ou depois serão ignorados."
"Please enter a number greater than 0 in this field.","Por favor, insira um número maior que 0 neste campo."
"Please enter a valid $ amount. For example $100.00.","Por favor, insira uma quantia R$ válida. Por exemplo R$ 100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor, insira um URL válido. Por exemplo http://www.exemplo.com.br ou www.exemplo.com.br"
"Please enter a valid URL. http:// is required","Por favor, insira um URL válido. http:// é obrigatório"
"Please enter a valid credit card number.","Por favor, insira um número de cartão de crédito válido."
"Please enter a valid date.","Por favor, insira uma data válida."
"Please enter a valid email address. For example johndoe@domain.com.","Por favor, insira um endereço de e-mail válido. Por exemplo, joao@dominio.com.br"
"Please enter a valid number in this field.","Por favor, insira um número válido neste campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor, insira um número de telefone válido. Por exemplo (12) 3456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Por favor, insira um número de seguro social válido. Por exemplo 123-45-6789."
"Please enter a valid zip code.","Por favor, insira um CEP válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor, insira um CEP válido. Por exemplo 90999002."
"Please enter valid password.","Por favor, insira uma senha válida."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","or favor, tenha certeza que o URL base termina com '/' (barra), ex: http://seudominio/magento/"
"Please make sure your passwords match.","Por favor, tenha certeza que as senhas são iguais."
"Please select State/Province.","Por favor, selecione estado."
"Please select an option.","Por favor, selecione uma opção."
"Please select one of the above options.","Por favor, selecione uma das opções acima."
"Please select one of the options.","Por favor, selecione uma das opções."
"Please specify payment method.","Por favor, especifique o método de pagamento"
"Please specify shipping method.","Por favor, especifique o método de envio"
"Please use letters only (a-z or A-Z) in this field.","Por favor, use somente letras (a-z ou A-Z) neste campo"
"Please use letters only (a-z) in this field.","Por favor, use somente letras (a-z) neste campo."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Por favor, use somente números neste campo. Evite espaços ou caracteres como pontos ou vírgulas."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor, use somente letras (a-z) ou números (0-9) neste campo. Espaços ou outros caracteres não são permitidos."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Por favor, use somente letras (a-z), números (0-9) ou espaços e # neste campo."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Por favor, use somente letras (a-z), números (0-9) ou underscore(_) neste campo e o primeiro caractere deve ser uma letra."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor, use este formato de data: dd/mm/aaaa. Por exemplo 17/03/2006 para 17 de março de 2006."
"Please wait, loading...","Por favor aguarde, carregando..."
"Polls","Pesquisas"
"Port (25)","Porta (25)"
"Profiler","Profiler"
"Prototype Deprecation Log","Protótipo de log de deprecação"
"Request path for specified store","Caminho de solicitação para loja especificada"
"Requested invalid store ""%s""","Loja ""%s"" solicitada inválida"
"Resource is not set","Recurso não está definido"
"Root Category","Categoria raiz"
"SMTP settings (Windows server only)","Configurações de SMTP (somente Windows server)"
"Sales representative","Representante de vendas"
"Save","Salvar"
"Save Store","Salvar loja"
"Save Store View","Salvar visão da loja"
"Save Website","Salvar website"
"Search Engines Optimization","Otimização do mecanismo de busca"
"Secure","Assegurar"
"Security","Segurança"
"Select Date","Selecionar data"
"Sender email","E-mail do remetente"
"Sender name","Nome do remetente"
"Services","Serviços"
"Session Cookie management","Gerenciamento de cookie de sessão"
"Session Lifetime, Seconds","Tempo de vida da sessão, segundos"
"Session Validation Settings","Configuração de validação de sessão"
"Set as default","Definir como padrão"
"Skin (Images / CSS)","Skin (imagens / CSS)"
"Sort order","Ordem de ordenação"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Data/hora especificado ""%1$s"" diferente do formato ""%2$s""."
"Specify either category or product, or both.","Especifique categoria ou produto ou ambos."
"Start date can't be greater than end date","Data de início não pode ser depois que a data de fim"
"Startup page","Página inicial"
"Status","Status"
"Store","Loja"
"Store Email Addresses","Endereços de e-mail da loja"
"Store Information","Informações da loja"
"Store Name","Nome da loja"
"Store View","Visão da loja"
"Store View Information","Informações da visão da loja"
"Store View Name","Nome da visão da loja"
"Store View was successfully saved","Visão da loja foi salva com sucesso"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Código da loja deve conter somente letras (a-z), números (0-9) ou underscore(_) e o primeiro caractere deve ser uma letra"
"Store doesn't exist","Loja não existe"
"Store view doesn't exist","Visão da loja não existe"
"Store view was successfully deleted.","Visão da loja foi excluída com sucesso."
"Store was successfully deleted.","Loja foi excluída com sucesso."
"Store was successfully saved","Loja foi salva com sucesso"
"Store with the same code","Loja com o mesmo código"
"System","Sistema"
"System Log File Name","Nome do arquivo de log do sistema"
"Template Path Hints","Dicas de caminho de modelo"
"Templates","Modelos"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","O %s que você inseriu é inválido. Por favor, tenha certeza que isto segue o formato ""http://dominio.com.br/""."
"Themes","Temas"
"This category and all its child elements","Esta categoria e todos seus elementos filhos"
"This category and its child categories only","Somente esta categoria e suas categorias filho"
"This category and its products only","Somente esta categoria e seus produtos"
"This category only","Somente esta categoria"
"This is a required field.","Este é um campo obrigatório."
"This store cannot be deleted","Esta loja não pode ser excluída"
"This store cannot be deleted.","Esta loja não pode ser excluída."
"This store view cannot be deleted","Esta visão da loja não pode ser excluída"
"This store view cannot be deleted.","Esta visão da loja não pode ser excluída."
"This website cannot be deleted","Este website não pode ser excluído"
"This website cannot be deleted.","Este website não pode ser excluído."
"This will be displayed just before body closing tag","Isto será exibido antes do fechamento da body tag"
"This will be included before head closing tag in page HTML","Isto será incluído antes do fechamento da head tag na página HTML"
"Timezone","Fuso horário"
"Title Prefix","Prefixo do título"
"Title Suffix","Sufixo do título"
"Translate Inline","Traduzir inline"
"Translate cache should be disabled for both Frontend and Admin inline translations","Cache de tradução deve ser desabilitado para a tradução inline do Frontend e da Admin"
"Translations","Traduções"
"Unable to delete store view. Please, try again later.","Não foi possível excluir visão da loja. Por favor, tente novamnte mais tarde."
"Unable to delete store. Please, try again later.","Não foi possível excluir loja. Por favor, tente novamente mais tarde."
"Unable to delete website. Please, try again later.","Não foi possível excluir website. Por favor, tente novamente mais tarde."
"Unable to proceed. Please, try again","Não foi possível continuar. Por favor, tente novamente"
"Unknown scope ""%s""","Escopo desconhecido ""%s"""
"Unsecure","Inseguro"
"Url Options","Opções de URL"
"Use HTTP Only","Usar somente HTTP"
"Use Secure URLs in Admin","Usar URLs seguras em Admin"
"Use Secure URLs in Frontend","Usar URLs seguras em Frontend"
"Use Web Server Rewrites","Usar web server rewrites"
"Use custom admin URL","Usar URL personalizado do admin"
"Validate HTTP_USER_AGENT","Validar HTTP_USER_AGENT"
"Validate HTTP_VIA","Validar HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validar HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validar REMOTE_ADDR"
"Values less than 60 are ignored.","Valores menores que 60 são ignorados."
"Web","Web"
"Website","Website"
"Website Information","Informações do website"
"Website Name","Nome do website"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Código do website deve conter somente letras (a-z), números (0-9) ou underscore(_) e o primeiro caractere deve ser uma letra"
"Website doesn't exist","Website não existe"
"Website was successfully deleted.","Website foi excluído com sucesso."
"Website was successfully saved","Website foi salvo com sucesso"
"Website with the same code","Website com o mesmo código"
"Weekend Days","Dias do final de semana"
"Welcome Text","Texto de boas-vindas"
"Wrong number of arguments for %s","Número incorreto de argumentos para %s"
"Yes","Sim"
"Your order can not be completed at this time as there is no payment methods available for it.","Seu pedido não pode ser finalizado no momento, pois não há métodos de pagamento disponíveis."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Seu pedido não pode ser concluído neste momento pois não há métodos de entrega disponíveis para ele. Por favor, faça as mudanças necessárias no seu endereço de entrega."
"Your session has been expired, you will be relogged in now.","Sua sessão expirou, você será reconectado agora."
"Search","Pesquisar"
"Go","Ir"
"Search entire store here...","Procurar em toda a loja..."
"Compare Products","Comparar Produtos"
"Back to Main Product Info","Voltar para as Informações Principais do Produto"
"You have no items to compare.","Você não tem itens para comparar."
"Clear All","Clear All"
"Search entire store here...","Search entire store here..."
"Search","Search"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Close","Close"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"

"Product Details and Comment","Comentários do produtos"
"Please, enter your comments...","Insire um Comentário para esse produto(Esses comentários seram vistos ao enviar a sua lista)"
"Your cart is empty","Carrinho vazio"
"You have no items in your shopping cart.","Você não tem itens adicionado ao seu carrinho"
"%s was added to your shopping cart.","%s adicionado com sucesso ao seu carrinho"
"View shopping cart","Ver Carrinho / Finalizar compra"
"Retrieve your password here","Recupere sua senha"
"Please enter your email address below. You will receive a link to reset your password.","Digite seu endereço de e-mail abaixo. Você receberá um link para redefinir sua senha."
"If there is an account associated with %s you will receive an email with a link to reset your password.","Se existir uma conta associada %s você receberá um email com um link para redefinir sua senha."
"New Customers","Cadastrar"
"Login or Create an Account","Cadastre-se ou entre com um login e senha"
"Registered Customers","Entre em sua conta"
"If you have an account with us, please log in.","Se já possui uma conta, informe os dados de acesso"
"Sign Up for Newsletter","deseja receber nossas promoções"
"Update Cart","Atualizar o carrinho"
"Sort By","Ordenar por"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Painel da sua conta você tem a capacidade de visualizar suas atividades. Selecione um link abaixo para visualizar ou editar as informações."
"Last Ordered Items","Últimos pedidos"
"Store Catalog","Últimos pedidos"
"Shop By","Acesso Rápido"
"Clear All","Limpar"
"Currently Shopping by:","Filtrando por:"
"Address Book","Meus endereços"
"Order Information","Status do pedido"
"Orders and Returns","Status do pedido"
"Returns","Status do pedido"
"Order ID","Número do pedido"
"Enter the billing last name and email/ZIP as in the order billing address","Valide seus dados setando o seus sobrenome e email da compra ou o cep da entrega"
"Billing Last Name","Seu Sobrenome"
"Find Order By:","Procurar por"
"Billing ZIP Code","CEP da entrega"
"Endereço de e-mail","Seu email"
"titulo1","Dest&aacute;ques do m&ecirc;s de"
"titulo2","Outros Dest&aacute;ques"






